City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,gondanglegi,-7.7479,112.0132,29.69,66,100,1.9,ID,1670122977
153,karaikkudi,10.0667,78.7833,25.36,82,86,6.17,IN,1670122977
154,danielskuil,-28.1887,23.5395,17.35,11,19,2.61,ZA,1670122977
155,san quintin,30.4833,-115.95,17.52,70,100,1.61,MX,1670122977
156,changli,39.7042,119.1506,-1.96,18,5,3.16,CN,1670122978
157,khatanga,71.9667,102.5,-6.78,90,100,12.25,RU,1670122978
158,butaritari,3.0707,172.7902,27.24,78,31,5.34,KI,1670122978
159,wurzen,51.3667,12.7333,2.08,97,100,3.27,DE,1670122978
160,ouesso,1.6136,16.0517,20.61,97,100,0.57,CG,1670122942
161,sao gabriel da cachoeira,-0.1303,-67.0892,22.35,99,98,0.48,BR,1670122979
162,lebu,-37.6167,-73.65,12.79,90,5,4.63,CL,1670122979
163,salalah,17.0151,54.0924,22.27,54,0,1.54,OM,1670122979
164,bijie,27.3125,105.2942,1.81,90,100,2.21,CN,1670122979
165,nakhon thai,17.1006,100.8374,27.79,69,96,1.17,TH,1670122980
166,carnarvon,-24.8667,113.6333,24.44,63,9,5.67,AU,1670122980
167,margherita,27.2833,95.6833,22.2,57,0,1.25,IN,1670122980
168,temirtau,50.0544,72.9483,-18.05,97,100,3.88,KZ,1670122980
169,kodiak,57.79,-152.4072,0.41,75,75,3.04,US,1670122981
170,richards bay,-28.783,32.0377,20.09,80,100,1.81,ZA,1670122981
171,hermosillo,29.0667,-110.9667,25.11,48,100,1.34,MX,1670122981
172,faya,18.3851,42.4509,11.8,86,0,0.52,SA,1670122982
173,touros,-5.1989,-35.4608,25.75,75,5,6.52,BR,1670122982
174,atbasar,51.8,68.3333,-22.7,90,32,2.79,KZ,1670122982
175,douentza,14.9951,-2.9517,26.34,24,80,1.57,ML,1670122982
176,kungsbacka,57.4872,12.0761,0.41,75,100,4.92,SE,1670122983
177,tukrah,32.5341,20.5791,16.14,62,12,6.81,LY,1670122983
178,ribeira grande,38.5167,-28.7,15.43,75,95,5.36,PT,1670122983
179,udachnyy,66.4167,112.4,-11.95,92,100,12.45,RU,1670122983
180,stanovoye,52.7638,38.3582,-8.4,67,64,4.42,RU,1670122984
181,cabedelo,-6.9811,-34.8339,25.76,77,22,6.18,BR,1670122984
182,mandurah,-32.55,115.7,25.48,51,3,4.72,AU,1670122984
183,olafsvik,64.8945,-23.7142,5.1,84,98,4.55,IS,1670122985
184,broome,42.2506,-75.833,3.08,63,100,7.72,US,1670122985
185,zuya,45.0531,34.3154,1.31,89,100,5.52,UA,1670122985
186,gulmarg,34.049,74.3921,-0.12,39,10,1.08,IN,1670122985
187,faanui,-16.4833,-151.75,27.08,77,20,8.26,PF,1670122986
188,zheleznodorozhnyy,55.7503,38.0042,-8.77,89,93,3.0,RU,1670122986
189,coquimbo,-29.9533,-71.3436,16.37,80,9,1.28,CL,1670122986
190,taoudenni,22.6783,-3.9836,19.96,20,0,1.4,ML,1670122987
191,sao joao da barra,-21.6403,-41.0511,22.64,90,100,7.18,BR,1670122909
192,canakkale,40.0833,26.8333,7.73,91,100,4.88,TR,1670122922
193,lazaro cardenas,17.9583,-102.2,25.1,80,0,1.38,MX,1670122987
194,kaitangata,-46.2817,169.8464,16.63,56,100,5.21,NZ,1670122987
195,port alfred,-33.5906,26.891,16.77,92,100,0.89,ZA,1670122987
